category,year,country,title,character,sex,peak_year,peak_freq_per_100k,t5_year,t5_freq_per_100k,persistence_p5_pct,status,did_net_effect_pct
Musica & Pop,2009,IT,Stupida,Alessandra,F,2010,624.38,2015,414.29,66.4,Decadimento Moderato,-19.07
Musica & Pop,2010,IT,Oltre,Emma,F,2012,1960.57,2017,1600.37,81.6,Adozione Strutturale (Persistente),67.98
Musica & Pop,2011,IT,Rolling in the Deep,Adele,F,2013,494.15,2018,694.31,140.5,Adozione Strutturale (Persistente),206.23
Musica & Pop,2012,IT,La notte,Arisa,F,2013,4.13,2024,3.35,81.1,Adozione Strutturale (Persistente),40.38
Musica & Pop,2013,IT,L'essenziale,Marco,M,2014,1224.62,2019,899.78,73.5,Adozione Strutturale (Persistente),-11.53
Musica & Pop,2017,IT,Tutta colpa mia,Elodie,F,2018,62.61,2023,92.29,147.4,Adozione Strutturale (Persistente),188.45
Musica & Pop,2018,IT,Il mondo prima di te,Annalisa,F,2019,73.2,2024,0.56,0.8,Moda Passeggera (Fad Temporaneo),-6.82
Musica & Pop,2020,IT,Musica e il resto scomparirà,Elettra,F,2021,110.4,2024,79.25,71.8,Adozione Strutturale (Persistente),25.97
Musica & Pop,2021,IT,Zitti e buoni,Damiano,M,2022,485.03,2024,456.28,94.1,Adozione Strutturale (Persistente),79.38
Musica & Pop,2021,IT,Grande Fratello VIP 6,Soleil,F,2023,256.78,2024,250.04,97.4,Adozione Strutturale (Persistente),408.43
Sport,1999,US,NBA Finals Champions (Lakers),Kobe,M,2001,79.88,2006,22.82,28.6,Moda Passeggera (Fad Temporaneo),187.87
Sport,2000,US,NBA Finals Champions (Lakers),Shaquille,M,2001,2.21,2006,0.88,39.6,Moda Passeggera (Fad Temporaneo),-49.22
Sport,2001,US,MLB World Series (NY Yankees),Derek,M,2002,143.55,2007,137.51,95.8,Adozione Strutturale (Persistente),-15.86
Sport,2002,US,NFL Super Bowl XXXVI,Tom,M,2003,6.68,2008,4.71,70.4,Adozione Strutturale (Persistente),12.69
Sport,2003,US,NBA Draft #1 Pick,LeBron,M,2004,4.84,2009,4.94,102.2,Adozione Strutturale (Persistente),1405.84
Sport,2004,US,NFL MVP Season,Peyton,M,2005,142.34,2010,137.96,96.9,Adozione Strutturale (Persistente),45.17
Sport,2006,US,NBA Finals Champions (Miami Heat),Dwyane,M,2007,0.39,2012,0.47,123.1,Adozione Strutturale (Persistente),-19.78
Sport,2009,US,NBA Finals MVP (Lakers),Kobe,M,2010,33.62,2015,24.26,72.2,Adozione Strutturale (Persistente),16.39
Sport,2011,US,NBA MVP Season (Bulls),Derrick,M,2012,55.51,2017,37.93,68.3,Decadimento Moderato,2.03
Sport,2012,US,NBA Finals Champion (Heat),LeBron,M,2013,3.01,2018,1.76,58.5,Decadimento Moderato,-36.82
Sport,2014,US,NBA MVP Season (Thunder),Kevin,M,2015,270.46,2020,138.17,51.1,Decadimento Moderato,-14.68
Sport,2015,US,NBA Finals Champion (Warriors),Stephen,M,2016,72.67,2021,54.76,75.4,Adozione Strutturale (Persistente),-3.16
Sport,2016,US,NBA Finals Champion (Cavs),Kyrie,M,2017,96.17,2022,91.41,95.1,Adozione Strutturale (Persistente),168.66
Sport,2017,US,NFL Super Bowl LI Champion,Tom,M,2019,4.85,2024,2.79,57.5,Decadimento Moderato,12.83
Sport,2019,US,NFL Super Bowl LIV Champion,Patrick,M,2020,108.16,2025,87.53,80.9,Adozione Strutturale (Persistente),-6.89
Sport,2020,US,NBA Finals Champion (Lakers),Anthony,M,2021,388.23,2025,349.34,90.0,Adozione Strutturale (Persistente),-2.55
Sport,2021,US,NBA Finals Champion (Bucks),Giannis,M,2022,9.28,2025,5.68,61.2,Decadimento Moderato,38.43
Sport,2023,US,NBA Finals Champion (Nuggets),Nikola,M,2024,6.27,2025,5.97,95.3,Adozione Strutturale (Persistente),-21.15
Sport,2000,IT,Euro 2000 Italia Vice-Campione,Francesco,M,2002,3785.77,2007,3514.32,92.8,Adozione Strutturale (Persistente),14.76
Sport,2001,IT,Scudetto AS Roma,Gabriel,M,2002,272.04,2007,368.29,135.4,Adozione Strutturale (Persistente),93.39
Sport,2003,IT,Champions League AC Milan,Andriy,M,2004,4.57,2009,3.47,75.8,Adozione Strutturale (Persistente),119.08
Sport,2006,IT,Mondiali 2006 Campioni del Mondo,Gennaro,M,2007,163.68,2012,139.02,84.9,Adozione Strutturale (Persistente),-3.74
