year,name,gender,count,percent
1999,"DOMENICO PIO",m,29,0.0109833507552
1999,"EMANUELE PIO",m,29,0.0109833507552
1999,"GABRIELE MARIA",m,29,0.0109833507552
1999,"GIONA",m,29,0.0109833507552
1999,"MICHEAL",m,29,0.0109833507552
1999,"MARTINA",f,8773,3.5035802572673
1999,"ALESSIA",f,8491,3.3909608987185
1999,"GIULIA",f,8411,3.3590121445202
1999,"CHIARA",f,7840,3.1309779114301
1999,"SARA",f,7186,2.8697968458592
1999,"FRANCESCA",f,7006,2.7979121489131
1999,"FEDERICA",f,5070,2.0247522973151
1999,"GIORGIA",f,4240,1.6932839725081
1999,"ANNA",f,3540,1.4137323732733
1999,"ELISA",f,3307,1.3206816266708
1999,"VALENTINA",f,3299,1.317486751251
1999,"ALICE",f,3263,1.3031098118618
1999,"SOFIA",f,3025,1.2080622681219
1999,"ELENA",f,2923,1.1673276065191
1999,"AURORA",f,2920,1.1661295282367
1999,"LAURA",f,2829,1.1297878203362
1999,"ILARIA",f,2759,1.1018326604127
1999,"ALESSANDRA",f,2535,1.0123761486576
1999,"SILVIA",f,2515,1.004388960108
1999,"ARIANNA",f,2481,0.99081073957372
1999,"BEATRICE",f,2402,0.95926134480294
1999,"GIADA",f,2393,0.95566710995563
1999,"ELEONORA",f,2341,0.93490041972676
1999,"MARIA",f,2315,0.92451707461232
1999,"CAMILLA",f,2197,0.87739266216988
1999,"CLAUDIA",f,2058,0.82188170175039
1999,"MARTA",f,2018,0.80590732465126
1999,"ROBERTA",f,1965,0.78474127499491
1999,"MICHELA",f,1873,0.7480002076669
1999,"NOEMI",f,1818,0.72603543915559
1999,"REBECCA",f,1782,0.71165849976637
1999,"GAIA",f,1705,0.68090782385054
1999,"IRENE",f,1694,0.67651487014828
1999,"VERONICA",f,1660,0.66293664961402
1999,"VALERIA",f,1615,0.64496547537749
1999,"SIMONA",f,1551,0.61940647201888
1999,"ANGELA",f,1473,0.58825643667557
1999,"NICOLE",f,1424,0.56868782472913
1999,"SERENA",f,1345,0.53713842995835
1999,"LUCIA",f,1335,0.53314483568356
1999,"GRETA",f,1328,0.53034931969122
1999,"SABRINA",f,1296,0.51756981801191
1999,"CATERINA",f,1218,0.4864197826686
1999,"LETIZIA",f,1177,0.47004604614199
1999,"JESSICA",f,1166,0.46565309243973
1999,"BENEDETTA",f,1148,0.45846462274512
1999,"ERIKA",f,1144,0.4568671850352
1999,"MARGHERITA",f,1113,0.44448704278338
1999,"MARIKA",f,1100,0.43929537022616
1999,"ASIA",f,1089,0.4349024165239
1999,"LUDOVICA",f,1083,0.43250625995903
1999,"CRISTINA",f,1034,0.41293764801259
1999,"LUCREZIA",f,958,0.38258633152424
1999,"VANESSA",f,941,0.3757972212571
1999,"MIRIAM",f,934,0.37300170526476
1999,"CARLOTTA",f,927,0.37020618927241
1999,"LISA",f,922,0.36820939213502
1999,"ANTONELLA",f,909,0.3630177195778
1999,"ELISABETTA",f,889,0.35503053102823
1999,"ERICA",f,863,0.34464718591379
1999,"GIOVANNA",f,857,0.34225102934892
1999,"EMANUELA",f,844,0.33705935679171
1999,"PAOLA",f,833,0.33266640308944
1999,"GLORIA",f,811,0.32388049568492
1999,"STEFANIA",f,793,0.31669202599031
1999,"ILENIA",f,787,0.31429586942544
1999,"RACHELE",f,778,0.31070163457814
1999,"TERESA",f,774,0.30910419686822
1999,"MARIANNA",f,766,0.3059093214484
1999,"ANGELICA",f,760,0.30351316488353
